X,Y,OBJECTID,Project_ID,Project_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Project_Zip_Code,Neighborhood,Project_Record_Type,Project_Status,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Project_Update_Date,Gross_Square_Footage,Description,Website_URL,Lat,Lon,Gross_Floor_Area,RnD_sqft,Shape
764853.067664385,2942945.95786947,21411,2501,Jackson Square Recreation Center,1522,Columbus,Avenue,2119,Roxbury,NPC,Board Approved,2016/12/15 00:00:00+00,2011/06/16 00:00:00+00,,,,38500,"The proposed project as described in the NPC calls for the construction of a two story, approximately 75,000 square feet recreational center. The Center will be served by 50 at grade parking spaces.",http://www.bostonplans.org/projects/development-projects/jackson-square-recreation-center,42.3229,-71.0981,75000,0,
766147.926951304,2932274.46116789,21412,2502,Brooke Charter High School,198-260,American Legion,Highway,2124,Mattapan,Large Project,Construction Complete,2016/12/09 00:00:00+00,2017/03/16 00:00:00+00,2017/06/22 00:00:00+00,2018/08/21 00:00:00+00,2017/04/20 00:00:00+00,95000,"The Brooke Charter High School proposed the construction of approximately 95,000 gross square foot new school building to accommodate approximately 780 students in grades 8 through 12. The building will include core and specialty classrooms, a gymnasium, a cafeteria, an auditorium, administrative spaces, and various support spaces. The Project will also include outdoor educational space, a garden area, approximately 60 off-street parking spaces and loading/circulation areas. The school is to be located within the Olmsted Green East Campus on Parcels 2B-2 and 2B-3, located at 198-260 American Legion Highway and Kingbird Road in Mattapan.",http://www.bostonplans.org/projects/development-projects/brooke-charter-high-school,42.2936,-71.0935,95000,0,
767973.616213307,2951925.76668148,21413,2508,1000 Boylston Street,1000,Boylston,Street,2115,Back Bay,Large Project,Board Approved,2017/01/05 00:00:00+00,2018/03/15 00:00:00+00,,,2019/05/28 00:00:00+00,513000,"The Proposed Project consists of a single condominium tower containing up to approximately 108 condominium units, rising from a Podium base containing approximately 45,500 square feet of first and second-story retail and restaurant space fronting on Dalton, Boylston and St. Cecilia Streets, a two-story above-grade parking garage containing approximately 175 spaces, and an amenities floor. A greenspace and outdoor amenity area for the condominium unit owners will be located on the roof level of the Podium. The second residential building proposed in the PNF has been eliminated resulting in reduced potential environmental impacts.

Prior planning for this project can be viewed at http://tinyurl.com/Parcels12-15",http://www.bostonplans.org/projects/development-projects/1000-boylston-street,42.3475,-71.0864,439500,0,
753172.933872476,2955175.03347689,21414,2509,Allston Yards Building B,400,Guest,Street,2134,Allston,Large Project,Board Approved,2018/01/22 00:00:00+00,2019/12/12 00:00:00+00,,,2023/01/27 00:00:00+00,636500,400 Guest Street (Building B) in the Allston Yards redevelopment is an office/research building.,http://www.bostonplans.org/projects/development-projects/allston-yards-building-b,42.3566,-71.1411,634500,350000,
765722.977998048,2947687.61078772,21415,2510,Wentworth Multipurpose Academic Building,555,Parker,Street,2215,Mission Hill,Large Project,Construction Complete,2017/01/13 00:00:00+00,2017/05/11 00:00:00+00,2017/08/09 00:00:00+00,2018/11/08 00:00:00+00,2017/06/29 00:00:00+00,69000,"The MpA Building will contain laboratories, student learning and group meeting space, offices, and support/storage space on floors two through four, and a first-floor maker space, manufacturing, and gathering space.",http://www.bostonplans.org/projects/development-projects/wentworth-multipurpose-academic-building,42.3359,-71.0948,69000,0,
748444.522725642,2927714.4958784,21416,2511,425 LaGrange Street,425,LaGrange,Street,2132,West Roxbury,Small Project,Construction Complete,2016/02/17 00:00:00+00,2016/03/17 00:00:00+00,2020/12/18 00:00:00+00,2023/05/24 00:00:00+00,2023/05/22 00:00:00+00,47700,Construct a new residential homeownership building with 40 units and off-street parking for 65 vehicles.,http://www.bostonplans.org/projects/development-projects/425-lagrange-street,42.2813,-71.159,47700,0,
749144.948490143,2948635.20666157,21417,2512,1954 Commonwealth Avenue,1954,Commonwealth,Avenue,2135,Brighton,Small Project,Prefile (Default),,2016/09/15 00:00:00+00,,,2016/09/15 00:00:00+00,0,The Proposed Project calls for the renovation of an existing three (3) unit building and the creation of a thirteen (13) unit buildings with 19 off-street parking spaces.  In total the development will consist of sixteen (16) units and 19 parking spaces.  The building will include fourteen (14) two-bedroom and two (2) three-bedroom rental units.,,42.3387,-71.1561,0,,
776984.169714466,2950294.8503239,21418,2513,105 West First Street,105,West First,Street,2127,South Boston,Large Project,Permitted / Under Construction,2017/01/30 00:00:00+00,2017/06/15 00:00:00+00,,,2020/04/06 00:00:00+00,266000,"Breakthrough Properties (the Proponent), an affiliate of Tishman Speyer, has commenced the redevelopment of an approximately 42,219 square foot site (the Project Site) located at 105 West First Street in South Boston. The 105 West First Street project (the Project) will comprise an eight story, approximately 266,000 square foot office/lab/research and development building containing 1,600+ square feet of ground floor space on West First Street for retail, café or restaurant use and 2,400+ square feet of convener space on West First Street, 10,000+ square feet of innovation space fronting on West Second Street, and 3,000+ square feet of tenant amenity space. The retail/restaurant/café use and innovation space on West First Street and West Second Street respectively are designed to activate the ground floor level of the building.",http://www.bostonplans.org/Projects/Development-Projects/105-West-First-Street,42.3429,-71.0531,249000,232000,
762235.529592395,2935827.49605656,21419,2514,50 Stedman Street,50,Stedman,Street,2130,Jamaica Plain,Small Project,Construction Complete,2018/10/04 00:00:00+00,2019/02/14 00:00:00+00,2021/03/12 00:00:00+00,2022/09/02 00:00:00+00,2022/08/09 00:00:00+00,31216,"The proposed 50 Stedman Street project consists of the demolition of the existing single-story commercial building on the approximately 14,344 square feet project site, and the construction of a three (3)-story, approximately twenty-one (21) unit residential building with parking for twenty-one (21) vehicles. The Proposed Project totals approximately 31,216 gross square feet.",http://www.bostonplans.org/Projects/Development-Projects/50-Stedman-Street,42.3034,-71.1079,23841,0,
770051.469669133,2947198.38210739,21420,2516,One Newcomb Place,1,Newcomb,Street,2118,Roxbury,Small Project,Construction Complete,2017/03/20 00:00:00+00,2017/05/11 00:00:00+00,2021/05/06 00:00:00+00,2021/08/27 00:00:00+00,2019/06/07 00:00:00+00,24665,Proposal consists of 23 residential rental units including 3 affordable units.,http://www.bostonplans.org/Projects/Development-Projects/One-Newcomb-Place,42.3345,-71.0788,24665,0,
748879.699348718,2920427.83098981,21421,2518,5205 Washington Street,5205,Washington,Street,2132,West Roxbury,Small Project,Permitted / Under Construction,2017/03/17 00:00:00+00,2017/05/11 00:00:00+00,2019/02/06 00:00:00+00,,2018/06/21 00:00:00+00,22674,"A 22,674 gross square foot, 17 unit, 4 story residential building with 26 parking spaces.",http://www.bostonplans.org/projects/development-projects/5205-washington-street,42.2613,-71.1575,22674,0,
760981.29522422,2943948.43027398,21422,2519,Goddard House,201,South Huntington,Avenue,2130,Jamaica Plain,Large Project,Construction Complete,2017/02/24 00:00:00+00,2017/03/16 00:00:00+00,2017/08/30 00:00:00+00,2019/07/29 00:00:00+00,2018/08/17 00:00:00+00,150000,"The proposed project is the rehabilitation and expansion of the Goddard House to create 149 rental units, of which 19 will be income restricted.",http://www.bostonplans.org/Projects/Development-Projects/Goddard-House,42.3257,-71.1124,150000,0,
778782.575894549,2947644.02032372,21423,2520,457-469A West Broadway,457-469,West Broadway,,2127,South Boston,Large Project,Construction Complete,2020/07/08 00:00:00+00,2020/12/17 00:00:00+00,2020/06/15 00:00:00+00,2022/04/05 00:00:00+00,2022/05/08 00:00:00+00,76274,"Navem West Broadway, LLC is requesting Notice of Project Change of mixed-use development now Under Construction to change from rental housing units to condominiums.Project is an approximately 65,282 square foot building containing 44 units with 66 garage parking spaces, and includes six (6) IDP Units (affordable) and 13,500 square feet of commercial retail space.",http://www.bostonplans.org/projects/development-projects/457-469a-west-broadway,42.3356,-71.0465,65282,0,
763834.446998224,2946804.09352589,21424,2521,95 St. Alphonsus Street,95,St. Alphonsus,Street,2120,Mission Hill,Large Project,Construction Complete,2017/06/13 00:00:00+00,2017/11/16 00:00:00+00,2019/07/03 00:00:00+00,2021/10/14 00:00:00+00,2022/02/15 00:00:00+00,111665,"Wingate Development is proposing a 6 story, 111,665 gsf, 115 unit, as-of-right development on 95 St. Alphonsus Street.",http://www.bostonplans.org/Projects/Development-Projects/95-St-Alphonsus-Street,42.3335,-71.1018,111665,0,
775279.624567136,2940082.03544773,21425,2522,54 Pleasant Street,54,Pleasant,Street,2125,Dorchester,Small Project,Construction Complete,2017/06/19 00:00:00+00,2017/09/14 00:00:00+00,2018/09/07 00:00:00+00,2020/03/24 00:00:00+00,2019/10/28 00:00:00+00,22530,"Redevelopment of an  located at 54 Pleasant Street, Dorchester.  The proposal is for 17 condominiums, consisting of approximately 22,530 SF.  There will be 20 parking spaces, The site was a funeral home and is 14,688 SF.",http://www.bostonplans.org/projects/development-projects/54-pleasant-street,42.3149,-71.0596,22530,0,
774587.752919391,2943139.65072356,21426,2523,Pipefitters Association Local 537 Training and Office Facility,40,Enterprise,Street,2125,Dorchester,Large Project,Construction Complete,2017/05/31 00:00:00+00,2017/07/13 00:00:00+00,2017/12/13 00:00:00+00,2018/11/21 00:00:00+00,2017/10/16 00:00:00+00,70000,"The Proposed Project consists of the demolition of the existing structures on the site and the construction of an approximately 70,000 square foot training and office facility and approx. 117 off-street parking spaces to be occupied by Local Union 537.",http://www.bostonplans.org/projects/development-projects/pipefitters-association-local-537-training-and-off,42.3233,-71.0621,70000,0,
752406.900955722,2950908.0301999,21427,2524,101-105 Washington Street,101-105,Washington,Street,2135,Brighton,Large Project,Permitted / Under Construction,2017/03/01 00:00:00+00,2017/03/16 00:00:00+00,2020/01/03 00:00:00+00,,2022/03/15 00:00:00+00,99645,"Build a new Synagogue, a new residential building with 70 rental units and build a new Mikvah facility with off-street parking for 82 vehicles 70 below-grade spaces with 12 surface spaces.",http://www.bostonplans.org/projects/development-projects/101-105-washington-street,42.3449,-71.144,99645,0,
